지역,Indicator Name,year,value
제주,자율고진학율,2019,0.0011943863839952225
제주,특+자 진학률,2019,0.032248432367871005
제주,사교육비,2019,29.8
제주,음주율,2019,11.8
제주,우울감경험률,2019,26.4
제주,흡연율,2019,5.9
서울,특성화고진학률,2020,0.15037229772746147
서울,특목고진학률,2020,0.043831483378082875
서울,자율고진학율,2020,0.1275361917679298
서울,특+자 진학률,2020,0.17136767514601267
서울,사교육비,2020,49.2
서울,음주율,2020,8.8
서울,우울감경험률,2020,25.4
서울,흡연율,2020,3.4
부산,특성화고진학률,2020,0.20989310086387125
부산,특목고진학률,2020,0.07715671965602935
부산,자율고진학율,2020,0.036369373989191746
부산,특+자 진학률,2020,0.1135260936452211
부산,사교육비,2020,34.0
부산,음주율,2020,9.6
부산,우울감경험률,2020,23.2
부산,흡연율,2020,3.7
대구,특성화고진학률,2020,0.18832634633989037
대구,특목고진학률,2020,0.05763117888238817
대구,자율고진학율,2020,0.11793430690560648
대구,특+자 진학률,2020,0.17556548578799466
대구,사교육비,2020,34.4
대구,음주율,2020,8.5
대구,우울감경험률,2020,21.6
대구,흡연율,2020,2.6
인천,특성화고진학률,2020,0.19941164934300842
인천,특목고진학률,2020,0.050402039615610905
인천,자율고진학율,2020,0.04228280054912728
인천,특+자 진학률,2020,0.09268484016473819
인천,사교육비,2020,32.9
인천,음주율,2020,10.0
인천,우울감경험률,2020,23.3
인천,흡연율,2020,4.3
광주,특성화고진학률,2020,0.15845211136272813
광주,특목고진학률,2020,0.034700945783935
광주,자율고진학율,2020,0.029039563074463835
광주,특+자 진학률,2020,0.06374050885839883
광주,사교육비,2020,33.2
광주,음주율,2020,12.2
광주,우울감경험률,2020,25.4
광주,흡연율,2020,5.7
대전,특성화고진학률,2020,0.1319643983460649
대전,특목고진학률,2020,0.058868876585605155
대전,자율고진학율,2020,0.11906931109397996
대전,특+자 진학률,2020,0.1779381876795851
대전,사교육비,2020,34.9
대전,음주율,2020,11.5
대전,우울감경험률,2020,25.7
대전,흡연율,2020,4.5
울산,특성화고진학률,2020,0.15953012504736644
울산,특목고진학률,2020,0.0724706328154604
울산,자율고진학율,2020,0.034198560060629025
울산,특+자 진학률,2020,0.10666919287608943
울산,사교육비,2020,31.0
울산,음주율,2020,12.3
울산,우울감경험률,2020,24.8
울산,흡연율,2020,5.0
세종,특성화고진학률,2020,0.07415605976757056
세종,특목고진학률,2020,0.06087437742114001
세종,자율고진학율,2020,0.06281128942999446
세종,특+자 진학률,2020,0.12368566685113448
세종,사교육비,2020,37.2
세종,음주율,2020,11.2
세종,우울감경험률,2020,25.3
세종,흡연율,2020,4.2
경기,특성화고진학률,2020,0.1426148268866199
경기,특목고진학률,2020,0.035005155153490536
경기,자율고진학율,2020,0.021635015132869924
경기,특+자 진학률,2020,0.05664017028636046
경기,사교육비,2020,35.7
경기,음주율,2020,9.9
경기,우울감경험률,2020,26.8
경기,흡연율,2020,4.2
강원,특성화고진학률,2020,0.16151150388541827
강원,특목고진학률,2020,0.04144446137437147
강원,자율고진학율,2020,0.004190156940423587
강원,특+자 진학률,2020,0.04563461831479506
강원,사교육비,2020,23.3
강원,음주율,2020,14.0
강원,우울감경험률,2020,28.5
강원,흡연율,2020,5.7
충북,특성화고진학률,2020,0.24348930764344695
충북,특목고진학률,2020,0.051873809019690874
충북,자율고진학율,2020,0.0467922930340885
충북,특+자 진학률,2020,0.09866610205377938
충북,사교육비,2020,25.7
충북,음주율,2020,12.4
충북,우울감경험률,2020,25.2
충북,흡연율,2020,5.9
충남,특성화고진학률,2020,0.19020399601447374
충남,특목고진학률,2020,0.04079920289475064
충남,자율고진학율,2020,0.04174314332162148
충남,특+자 진학률,2020,0.08254234621637212
충남,사교육비,2020,21.1
충남,음주율,2020,12.4
충남,우울감경험률,2020,25.3
충남,흡연율,2020,4.5
전북,특성화고진학률,2020,0.14110139446939257
전북,특목고진학률,2020,0.05512881115575514
전북,자율고진학율,2020,0.006322382415504609
전북,특+자 진학률,2020,0.06145119357125975
전북,사교육비,2020,26.3
전북,음주율,2020,12.0
전북,우울감경험률,2020,28.3
전북,흡연율,2020,6.6
전남,특성화고진학률,2020,0.23875126390293225
전남,특목고진학률,2020,0.050240141557128415
전남,자율고진학율,2020,0.03121840242669363
전남,특+자 진학률,2020,0.08145854398382205
전남,사교육비,2020,23.0
전남,음주율,2020,12.3
전남,우울감경험률,2020,24.0
전남,흡연율,2020,5.0
경북,특성화고진학률,2020,0.15879869051572804
경북,특목고진학률,2020,0.05551074631114485
경북,자율고진학율,2020,0.0521895905489396
경북,특+자 진학률,2020,0.10770033686008446
경북,사교육비,2020,27.2
경북,음주율,2020,14.6
경북,우울감경험률,2020,22.6
경북,흡연율,2020,5.9
경남,특성화고진학률,2020,0.12238140510769432
경남,특목고진학률,2020,0.042717109792479425
경남,자율고진학율,2020,0.05038848637838901
경남,특+자 진학률,2020,0.09310559617086844
경남,사교육비,2020,28.1
경남,음주율,2020,11.8
경남,우울감경험률,2020,23.3
경남,흡연율,2020,4.8
제주,특성화고진학률,2020,0.1766571519188075
제주,특목고진학률,2020,0.0272756105296543
제주,자율고진학율,2020,0.0009514747859181732
제주,특+자 진학률,2020,0.02822708531557247
제주,사교육비,2020,28.9
제주,음주율,2020,9.3
제주,우울감경험률,2020,24.7
제주,흡연율,2020,4.7
서울,특성화고진학률,2021,0.1390500030526894
서울,특목고진학률,2021,0.04608034678551804
서울,자율고진학율,2021,0.10620306490017706
서울,특+자 진학률,2021,0.1522834116856951
서울,사교육비,2021,52.6
서울,음주율,2021,8.6
서울,우울감경험률,2021,26.8
서울,흡연율,2021,3.3
부산,특성화고진학률,2021,0.21143371788823606
부산,특목고진학률,2021,0.08135694986490544
부산,자율고진학율,2021,0.028863061285757174
부산,특+자 진학률,2021,0.1102200111506626
부산,사교육비,2021,42.1
부산,음주율,2021,9.9
부산,우울감경험률,2021,24.2
부산,흡연율,2021,4.0
대구,특성화고진학률,2021,0.18233688910940213
대구,특목고진학률,2021,0.06261473579756884
대구,자율고진학율,2021,0.06871743984123047
대구,특+자 진학률,2021,0.13133217563879931
대구,사교육비,2021,42.2
대구,음주율,2021,10.5
대구,우울감경험률,2021,24.9
대구,흡연율,2021,4.6
인천,특성화고진학률,2021,0.18563628727425452
인천,특목고진학률,2021,0.0504409911801764
인천,자율고진학율,2021,0.03103737925241495
인천,특+자 진학률,2021,0.08147837043259135
인천,사교육비,2021,38.9
인천,음주율,2021,9.7
인천,우울감경험률,2021,24.2
인천,흡연율,2021,4.2
광주,특성화고진학률,2021,0.16222937390286718
광주,특목고진학률,2021,0.035254534815681686
광주,자율고진학율,2021,0.029403159742539497
광주,특+자 진학률,2021,0.06465769455822118
광주,사교육비,2021,37.4
